46.700321	0.003565	-6.662476	-0.854813	
46.799961	0.021482	-6.716228	-0.880893	
46.900087	-0.001536	-6.830911	-0.895703	
47.000873	0.008963	-6.932886	-0.912497	
47.100717	-0.019624	-6.998744	-0.923401	
47.200918	-0.005009	-7.173594	-0.942140	
47.299868	-0.001102	-7.180709	-0.936666	
47.400061	-0.014337	-7.243737	-0.958154	
47.500186	-0.020982	-7.394449	-0.967387	
47.600503	-0.010257	-7.376043	-0.993272	
47.700627	-0.015594	-7.404467	-1.002310	
47.799832	-0.024682	-7.496668	-1.017144	
47.899974	-0.018534	-7.528444	-1.028516	
48.000186	-0.022335	-7.549891	-1.044584	
48.100695	-0.033572	-7.653597	-1.044491	
48.200082	-0.021794	-7.695712	-1.057341	
48.300922	-0.019689	-7.827300	-1.059506	
48.400131	-0.025497	-7.873418	-1.063303	
48.500886	-0.018026	-7.892306	-1.060305	
48.600181	-0.038147	-7.938403	-1.070406	
48.700558	-0.020912	-7.990077	-1.068861	
48.800764	-0.032993	-7.999043	-1.073657	
48.900069	-0.048129	-7.945215	-1.071386	
49.000117	-0.025506	-7.973334	-1.061773	
49.100951	-0.032250	-7.989643	-1.072951	
49.200364	-0.020035	-7.983609	-1.064025	
49.300933	-0.029714	-8.003160	-1.062597	
49.400380	-0.030940	-7.992941	-1.058600	
49.500321	-0.038824	-8.049507	-1.059687	
49.600075	-0.032450	-7.971261	-1.057104	
49.700808	-0.010008	-7.914848	-1.042070	
49.800251	-0.004525	-7.919119	-1.039877	
49.900076	-0.034425	-7.921220	-1.036230	
50.000258	-0.034435	-7.940172	-1.023673	
50.100717	-0.033183	-7.949058	-1.009858	
50.199934	-0.016445	-7.949438	-0.995317	
50.300873	-0.033790	-7.949139	-0.993162	
50.400503	-0.039779	-7.900993	-0.971046	
50.500799	-0.007532	-7.858174	-0.958854	
50.600412	-0.039919	-7.886323	-0.951069	
50.700100	-0.042990	-7.704189	-0.926632	
50.800171	-0.029149	-7.611517	-0.915957	
50.900374	-0.041801	-7.532978	-0.883647	
51.000764	-0.036918	-7.537317	-0.852985	
51.100014	-0.056599	-7.521770	-0.820651	
51.200126	-0.056346	-7.472271	-0.782623	
51.299993	-0.060756	-7.417375	-0.736050	
51.400736	-0.040137	-7.416944	-0.707206	
51.500290	-0.060725	-7.343762	-0.662592	
51.600413	-0.028712	-7.210531	-0.608950	
51.700589	-0.030309	-7.145937	-0.599147	
51.800032	-0.025998	-7.110099	-0.556074	
51.900052	0.007346	-7.039774	-0.550380	
52.000248	0.017545	-6.962885	-0.558497	
52.100308	0.017088	-6.836728	-0.562504	
52.200202	0.003236	-6.704878	-0.540792	
52.300721	0.004304	-6.662474	-0.532983	
52.400159	0.004447	-6.579942	-0.537170	
52.500602	0.003498	-6.461625	-0.546583	
52.600566	0.003534	-6.385365	-0.538813	
52.700634	0.009282	-6.286262	-0.543883	
52.800964	0.002797	-6.216537	-0.539666	
52.900304	0.004147	-6.117550	-0.535981	
53.000138	0.015612	-6.002151	-0.556562	
53.100459	-0.024758	-5.891494	-0.534421	
53.200319	0.002816	-5.775867	-0.526807	
53.300316	0.009820	-5.671795	-0.547091	
53.400594	0.003849	-5.552094	-0.538258	
53.500494	0.018376	-5.431496	-0.566025	
53.600352	0.003818	-5.301505	-0.563417	
53.700061	-0.008103	-5.208065	-0.560043	
53.800696	-0.010280	-5.107894	-0.581405	
53.900022	-0.013170	-4.980680	-0.583623	
54.000051	-0.026872	-4.862501	-0.590355	
54.099771	-0.056304	-4.751580	-0.591861	
54.200464	-0.042242	-4.632552	-0.583432	
54.300068	-0.047348	-4.529593	-0.577339	
54.400764	-0.038387	-4.407856	-0.568691	
54.500749	-0.027441	-4.332404	-0.549031	
54.600756	-0.006953	-4.244023	-0.561417	
54.700769	0.006228	-4.109903	-0.565010	
54.800891	0.007694	-3.987174	-0.576398	
54.900816	0.017938	-3.882193	-0.597720	
55.000697	0.021629	-3.721545	-0.622698	
55.100574	0.015907	-3.607776	-0.641748	
55.200217	0.015206	-3.508132	-0.673303	
55.301058	0.012764	-3.432518	-0.691837	
55.399951	0.017624	-3.352419	-0.722625	
55.500171	0.012490	-3.284125	-0.741418	
55.600445	0.011963	-3.089715	-0.769082	
55.700601	0.008211	-2.958781	-0.795449	
55.800776	-0.011265	-2.856061	-0.803634	
55.900026	-0.024257	-2.784822	-0.806851	
56.000448	-0.020008	-2.768984	-0.805467	
56.100686	-0.014872	-2.698689	-0.787001	
56.199912	-0.017524	-2.640119	-0.776174	
56.300053	-0.011518	-2.599599	-0.776228	
56.400621	0.001462	-2.522034	-0.778265	
56.500766	0.014699	-2.410682	-0.787941	
56.600379	0.027927	-2.344662	-0.798266	
56.700756	0.030661	-2.240402	-0.818136	
56.800188	0.032702	-2.136767	-0.849236	
56.900058	0.041203	-2.092921	-0.878509	
57.000977	0.015304	-2.026142	-0.890974	
57.101022	0.026248	-1.914621	-0.916381	
57.200514	0.031609	-1.863494	-0.955252	
57.300123	0.022858	-1.768499	-0.966991	
57.400567	0.063863	-1.690681	-0.993943	
57.500893	0.048664	-1.596352	-1.033462	
57.599820	0.023111	-1.482521	-1.037601	
57.700355	0.009725	-1.430204	-1.035022	
57.800924	0.020420	-1.379874	-1.027023	
57.900431	0.021186	-1.363031	-0.991476	
58.000195	-0.010050	-1.343090	-0.952531	
58.100695	0.005885	-1.367598	-0.929849	
58.200124	0.004666	-1.310679	-0.906494	
